,n,Tanggal,Aktual,a,b,c,d,e,f,g
0,1,5/10/2009,9456,13850.0,-4394.0,4394.0,19308115.0,-46.0,46.0,
1,2,12/10/2009,6580,10495.0,-3915.0,3915.0,15324093.0,-59.0,59.0,
2,3,19/10/2009,5572,5338.0,234.0,234.0,54616.0,4.0,4.0,
3,4,26/10/2009,8800,8324.0,476.0,476.0,226290.0,5.0,5.0,
4,5,2/11/2009,4172,8595.0,-4423.0,4423.0,19562044.0,-106.0,106.0,
5,6,09/11/2009,632,5753.0,-5121.0,5121.0,26227714.0,-810.0,810.0,
6,7,16/11/2009,5744,3703.0,2041.0,2041.0,4164865.0,36.0,36.0,
7,8,23/11/2009,7470,6180.0,1290.0,1290.0,1665132.0,17.0,17.0,
8,9,7/12/2009,22424,5343.0,17082.0,17082.0,291777642.0,76.0,76.0,
9,10,14/12/2009,8880,9756.0,-876.0,876.0,766850.0,-10.0,10.0,
10,11,21/12/2009,7252,7466.0,-214.0,214.0,45625.0,-3.0,3.0,
11,12,28/12/2009,10436,8008.0,2428.0,2428.0,5895184.0,23.0,23.0,
12,13,4/01/2010,16976,14133.0,2843.0,2843.0,8081512.0,17.0,17.0,
13,14,11/01/2010,10296,12604.0,-2308.0,2308.0,5326402.0,-22.0,22.0,
14,15,18/01/2010,13792,9331.0,4462.0,4462.0,19904982.0,32.0,32.0,
15,16,25/01/2010,14196,11616.0,2580.0,2580.0,6657432.0,18.0,18.0,
16,17,1/02/2010,6396,14257.0,-7861.0,7861.0,61796893.0,-123.0,123.0,
17,18,08/02/2010,11356,9546.0,1810.0,1810.0,3276100.0,16.0,16.0,
18,19,15/02/2010,13968,11862.0,2106.0,2106.0,4434394.0,15.0,15.0,
19,20,22/02/2010,13528,12964.0,564.0,564.0,317983.0,4.0,4.0,
20,21,1/03/2010,6480,10367.0,-3887.0,3887.0,15104882.0,-60.0,60.0,
21,22,08/03/2010,6984,9223.0,-2239.0,2239.0,5012673.0,-32.0,32.0,
22,23,15/03/2010,9816,10183.0,-367.0,367.0,134616.0,-4.0,4.0,
23,24,22/03/2010,10738,,,,,,,
